Month;Year;FC
7;2022;0.6236
8;2022;0.5957
9;2022;0.5865
10;2022;0.6304
11;2022;0.6341
12;2022;0.6189
1;2023;0.59252
2;2023;0.58326
3;2023;0.58464
4;2023;0.592156
5;2023;0.6111003
6;2023;0.6293
7;2023;0.60999
